[# ERROR | 2024-03-27 | 17:03:04.941 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.050 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.144 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.237 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.346 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.437 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.547 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.641 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.735 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.843 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:05.936 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.042 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.149 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.242 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.335 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.443 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.537 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.645 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.740 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.846 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:03:06.940 | PID=8672 | ThreadId=8312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
